# NPC=-507372189
kjell_*|kjell_cutscene,kjell_sword,kjell_guitar
guardsman_*|guardsman_peale,guardsman_deshawn,guardsman_brawn,guardsman_pazel,guardsman_dante
cow*|cowardly_bandit_pollnivneach,cow_default,cow_zanaris,cow_calf_2,cow_calf,cow_brown_2,cow_light_spots,cow_light_spots_2,cow_calf_3,cow_2,cow_brown
goblin_*_red|goblin_shield_warhammer_red,goblin_mohawk_staff_red,goblin_battleaxe_red,goblin_shield_spear_red,goblin_shield_battleaxe_red,goblin_staff_red,goblin_ponytail_staff_red
grubfoot*|grubfoot_orange,grubfoot_goblin_mines_2,grubfoot_goblin_mines,grubfoot_dorgesh_kaan,grubfoot_dorgesh_kaan_3,grubfoot_brown,grubfoot_sigmunds_base,grubfoot_goblin_village,grubfoot_dorgesh_kaan_2,grubfoot_blue
makeover_mage*|makeover_mage_female,makeover_mage_male
sergeant_*|sergeant_mossfists,sergeant_grimspike,sergeant_strongstack,sergeant_steelwill,sergeant_slimetoes,sergeant_south,sergeant_damien,sergeant_slimetoes_lumbridge_swamp_caves,sergeant_slimetoes_2,sergeant_mossfists_2,sergeant_east,sergeant_mossfists_lumbridge_swamp_caves
fishing_spot_*|fishing_spot_meiyerditch_tunnels,fishing_spot_xmas_2010_2,fishing_spot_ranging_guild,fishing_spot_small_net_bait_catherby,fishing_spot_rellekka_4,fishing_spot_ardougne,fishing_spot_ape_atoll_2,fishing_spot_entrana_2,fishing_spot_rellekka,fishing_spot_small_net_bait_draynor,fishing_spot_xmas_2010_7,fishing_spot_ranging_guild_4,fishing_spot_miscellania,fishing_spot_jatizso,fishing_spot_lumbridge_swamp,fishing_spot_xmas_2010_5,fishing_spot_burgh_de_rott_2,fishing_spot_musa_point_2,fishing_spot_tutorial_island,fishing_spot_braindeath_island,fishing_spot_entrana,fishing_spot_xmas_2010_10,fishing_spot_fishing_guild,fishing_spot_mudskipper_point,fishing_spot_rellekka_2,fishing_spot_xmas_2010_11,fishing_spot_lure_bait_lumbridge,fishing_spot_cage_harpoon_catherby,fishing_spot_lumbridge_swamp_caves,fishing_spot_xmas_2010_15,fishing_spot_fisher_realm,fishing_spot_xmas_2010_4,fishing_spot_baxtorian_falls,fishing_spot_big_net_harpoon_feldip_hills,fishing_spot_ranging_guild_2,fishing_spot_xmas_2010_9,fishing_spot_dorgesh_kaan_agility_course,fishing_spot_mort_myre_swamp,fishing_spot_musa_point,fishing_spot_tai_bwo_wannai,fishing_spot_harpoon_small_net_piscatoris,fishing_spot_mort_myre_swamp_3,fishing_spot_lumbridge_swamp_caves_2,fishing_spot_xmas_2010_13,fishing_spot_karamja_jungle_instance,fishing_spot_brimhaven,fishing_spot_isafdar,fishing_spot_small_net_bait_feldip_hills,fishing_spot_shilo_village,fishing_spot_barbarian_village,fishing_spot_fishing_platform,fishing_spot_karamja_jungle_instance_2,fishing_spot_dorgesh_kaan_agility_course_2,fishing_spot_baxtorian_falls_2,fishing_spot_wilderness,fishing_spot_taverley_dungeon,fishing_spot_ape_atoll,fishing_spot_xmas_2010,fishing_spot_tree_gnome_stronghold,fishing_spot_xmas_2010_6,fishing_spot_river_elid_cave,fishing_spot_small_net_bait_lumbridge,fishing_spot_observatory,fishing_spot_burgh_de_rott,fishing_spot_ranging_guild_3,fishing_spot_xmas_2010_8,fishing_spot_enchanted_valley,fishing_spot_cage_harpoon_feldip_hills,fishing_spot_big_net_harpoon_catherby,fishing_spot_cage_harpoon_fishing_guild,fishing_spot_sinclair_mansion,fishing_spot_rellekka_3,fishing_spot_xmas_2010_12,fishing_spot_iorwerth_camp,fishing_spot_crayfish_lumbridge,fishing_spot_rellekka_5,fishing_spot_xmas_2010_3,fishing_spot_mort_myre_swamp_2,fishing_spot_jatizso_2,fishing_spot_xmas_2010_14,fishing_spot_wilderness_bandit_camp,fishing_spot_barbarian_outpost
gravestone_*|gravestone_flag,gravestone_ancient_symbol,gravestone_symbol_of_saradomin_collapse,gravestone_small_gravestone_broken,gravestone_symbol_of_guthix,gravestone_stele,gravestone_ancient_symbol_broken,gravestone_small_gravestone,gravestone_symbol_of_guthix_broken,gravestone_ancient_symbol_collapse,gravestone_memorial_plaque,gravestone_font_of_life,gravestone_symbol_of_bandos_broken,gravestone_ornate_gravestone,gravestone_font_of_life_collapse,gravestone_stele_collapse,gravestone_symbol_of_saradomin_broken,gravestone_memorial_plaque_collapse,gravestone_angel_of_death_broken,gravestone_font_of_life_broken,gravestone_symbol_of_bandos_collapse,gravestone_symbol_of_saradomin,gravestone_symbol_of_zamorak_broken,gravestone_stele_broken,gravestone_royal_dwarven_gravestone_collapse,gravestone_symbol_of_zamorak_collapse,gravestone_angel_of_death_collapse,gravestone_symbol_of_armadyl_broken,gravestone_royal_dwarven_gravestone_broken,gravestone_flag_broken,gravestone_symbol_of_guthix_collapse,gravestone_flag_collapse,gravestone_royal_dwarven_gravestone,gravestone_symbol_of_armadyl,gravestone_ornate_gravestone_broken,gravestone_ornate_gravestone_collapse,gravestone_symbol_of_armadyl_collapse,gravestone_memorial_plaque_broken,gravestone_small_gravestone_collapse,gravestone_angel_of_death,gravestone_symbol_of_zamorak,gravestone_symbol_of_bandos
sir_prysin_*|sir_prysin_sword,sir_prysin_normal,sir_prysin_defender_of_varrock
shopkeeper*|shopkeeper_lumbridge,shopkeeper_varrock,shopkeeper_falador,shopkeeper_combat_training_camp,shopkeeper_musa_point,shopkeeper_al_kharid,shopkeeper_edgeville,shopkeeper_port_khazard,shopkeeper_rimmington
*camel|cam_the_camel,ali_the_camel,neferti_the_camel,ollie_the_camel,alice_the_camel,elly_the_camel,al_the_camel
grand_exchange_clerk*|grand_exchange_clerk_ponytail,grand_exchange_clerk_brown,grand_exchange_clerk_blonde,grand_exchange_clerk_short
seaman_lorris*|seaman_lorris,seaman_lorris_1,seaman_lorris_2
lumbridge_woman*|lumbridge_woman_3,lumbridge_woman_4,lumbridge_woman,lumbridge_woman_2,lumbridge_woman_5
trader_crewmember*|trader_crewmember_hat,trader_crewmember_blue,trader_crewmember_black,trader_crewmember_hidden_black,trader_crewmember_pink,trader_crewmember_grey,trader_crewmember_purple,trader_crewmember_hidden_pink
banker*|banker_zanaris,banker_falador,banker_keldagrim,banker_2,banker_4,banker_lletya,banker_fist_of_guthix,banker_zanaris_2,banker_canifis,banker_sophanem_dungeon_2,banker_al_kharid,banker_mos_le_harmless,banker_tutorial_island,banker_sophanem_dungeon,banker_3,banker_al_kharid_2,banker_mos_le_harmless_2,banker_lletya_2,banker_etceteria,banker_dorgesh_kaan_2,banker_shilo_village,banker,banker_dorgesh_kaan,banker_keldagrim_2
monk_of_entrana_port_sarim*|monk_of_entrana_port_sarim_grey,monk_of_entrana_port_sarim_ginger,monk_of_entrana_port_sarim_white
reldo*|reldo,reldo_plaque,reldo_normal
spring_elemental*|spring_elemental_6,spring_elemental,spring_elemental_3,spring_elemental_8,spring_elemental_5,spring_elemental_7,spring_elemental_4,spring_elemental_2
zamorak_crafter*|zamorak_crafter_end,zamorak_crafter_start
draynor_jail_guard*|draynor_jail_guard_blonde,draynor_jail_guard_bald,draynor_jail_guard_short,draynor_jail_guard_long
*_turkey|toadstool_turkey,cactus_turkey,bush_turkey,rock_turkey,barrel_turkey,crate_turkey
jeffery_*|jeffery_normal
entrana_monk*|entrana_monk_white,entrana_monk_ginger,entrana_monk_grey
mage_of_zamorak_wilderness_*|mage_of_zamorak_wilderness_trade,mage_of_zamorak_wilderness_teleport
shop_assistant*|shop_assistant_rimmington,shop_assistant_al_kharid,shop_assistant_musa_point,shop_assistant_musa_point_3,shop_assistant_lumbridge,shop_assistant_musa_point_2,shop_assistant_falador,shop_assistant_varrock,shop_assistant_edgeville
